Username,Total reviews,Location,Date,Review,Rating
Mary Seis,8reviews,US,2024-05-29T04:39:35.000Z,"I had two separate orders that were…I had two separate orders that were going to two different states get messed up in the same day. First order said it was delivered but I never got it and I ask my neighbors and no one seen it and this is a gated community never have any problems with Amazon pkg’s. The second order it kept saying it was going to be delivered today and it was out for delivery that was 18 hrs ago so I called and they said it seems it is lost. Really!!! how does that happen to two different orders in one day going to 2 different states. I’ve had issues before with Walmart delivery for online ordering. I will never order online again with Walmart. If they can’t get orders delivered in a not busy season I hate to see how bad they F up during xmas!Date of experience:May 28, 2024",1
G Griff,3reviews,US,2024-05-28T17:12:17.000Z,"Done with WM.comDone with WM.com.1. Placed order then they raised the price2. Placed order then the vendor duplicated.  Won't accept return.3.  Item color not as advertised4. WM lists no contact info on web page.  Apparently avoiding consumer complaints.WM.com appears to be a front for sleazy vendors.  Can't be trusted.No comparison to AMAZON.Date of experience:May 28, 2024",1
donna,25reviews,US,2024-05-27T16:09:03.000Z,"Doesn't value customer when inconviencedI ordered some items for pickup, but there was an issue and I called and was given $10 for the trouble. OK, so I placed another order to be picked up using the code for $10. I put the walmart location I wanted to pick up from. The 3 things I ordered after the code applied came to $11 some change. So I placed my order. I looked back and saw the location was changed AGAIN to a store I don't go to. For some reason that kept happening. I contacted them through chat they said to cancel and reorder. I did this and noticed the amount was higher, I put the code in thinking it went through. There was a message saying my order was under $35 then a fee of 6.99 was applied. Mind you this didn't show up when I placed the same order before. I contacted walmart through chat again. I was told the $10 code can't be applied again. I was given $5 to help with the fee. So today I asked if the $10 can be placed in my wallet so I can use it to purchase the same items since I used the $5 code and only one code can be applied. I was told no! So I was inconvenienced the first time and can't use the $10. This is an insult and walmart is full of it. They should fix their website nobody should have to be wronged and don't get to use the codes given to them. This is not how you remedy a situation. Put the $10 in the customer's wallet so it can be used if another code is applied or better yet make it so that 2 codes can be used. So they screw up and said to me screw you! I happily deleted my account with them. Never again will I order from them online.Date of experience:May 27, 2024",1
Anton Kuchar,1review,US,2024-05-26T16:57:28.000Z,"Cancelled order TWICE!My tire order was cancelled and for no reason...spent an hour on chat where they ""reset"" my account and told me to place exactly the same order within 24 hrs from same device and that is exactly what I did and guess what? It was cancelled AGAIN the second time at which point I was very angry, customer support did same thing ""reset"" told me place it again and I said there is ZERO chance I am wasting any more time with walmart. I was going to spend $1000 for full set of new tires, but I will gladly buy them elsewhere. They even offered me $10 online coupon for groceries over $15 total so I told them they can keep it as I am never buying anything online from walmart again.Date of experience:May 26, 2024",1
Don Beard,37K reviews,US,2024-05-26T11:52:06.000Z,"ThiefSince Walmart stole from me a second time, this time an annual subscription to W+ of $107.31 without my consent, and will not refund my money, I have deleted my credit card from my app and deleted the app.  I will never set foot in a Walmart store again.  No wonder they are so wealthy, they literally steal millions.Date of experience:May 04, 2024",1
allie,3.6K reviews,US,2024-05-26T02:21:06.000Z,"great service the had great stuffDate of experience:May 25, 2024",5
customer,14K reviews,US,2024-05-25T16:19:54.000Z,"I'd like to say what I like about…I'd like to say what I like about Walmart, but not in good consciousness. It is what it is, they got rid of K-mart in my area, and the only other place is this place.Date of experience:May 16, 2024",1
Kelly Belongie,2reviews,US,2024-05-25T03:14:45.000Z,"One Bluetooth SpeakerI purchased an Onn speaker from the electronics dept. Last week.  I kept my receipt and the paperwork that came with it but not the box.  I LOVE this little speaker.  Great sound,  good size, fun colors.  Unfortunately,  the charging port broke the second time I used it.  I took it back to Walmart,  with the receipt and the paperwork that was in the box with it.  The clerk got all worked up because the UPC code on the paperwork that was in the sealed manufacturers box didn't match what was on the receipt.  Now, I'm being treated like a shoplifting criminal.  So, she calls her supervisor and he resolved the issue.   Instead of putting the purchase back on my debit card that I originally made the purchase with, they insisted that I had to have a Walmart gift card because the UPC codes didn't match!!  I'd say  that's onyou Walmart!Anyhow,  I really liked the speaker that I purchased,  it was on clearance so I was hoping they still had another one.   I went back to the electronics department, and they did!  Yay! So, I purchased another one from the same kid that sold me the first one with a stinking gift card that I did not want.  It's charging now.  Yay kid, Yay speaker. Boo Walmart ""customer service ""Date of experience:May 24, 2024",3
ray mack,10reviews,US,2024-05-24T01:59:39.000Z,"Tiffany from Walmart a customer service rep from hellTo whom this my concern I spoke with Crystal @ Walmart but before I even had a conversation with this person I spoke to a previous person I waited on hold for about 20 mins or so before this Representative told me in layman terms go fly a kite I'm not in the traveling capacity to even remotely travel to this Kearny Walmart at this time they constantly refuse to email me a return label for my item which I purchased which was totally defective in charging or keeping it charged. All I want to do is return of defective item and receive my refund and shop  other places ,but now I was told to and I quote from Tiffany fight it out with your financial institution which was totally unacceptable to say to who one person to fight it out with your financial institution as an option. Totally unprofessional on Tiffany's part. This is how Walmart employees treat their loyal customers. Disgraceful Walmart needs to do better and the higher-ups need to train better employees on how to do conflict resolution and remember everything is recorded for quality and fraud control not to record their employees on their undertones mack11media digital News Ray MackDate of experience:May 23, 2024",1
Vicky Delco,1review,US,2024-05-23T21:10:33.000Z,"the online order they miss items and…the online order they miss items and wait to last min to say they want to make changes and they don't answer the calls this is the Walmart on tus in Canton ohioDate of experience:May 22, 2024",2
Coleen Keven,4reviews,US,2025-01-30T21:36:46.000Z,"I paid for items they did not deliverI paid for items they did not deliver. They refused to deliver the items, refused to refund me, they have no online return option for when they do not deliver and try to proceed as if you got the stuff and expect you to return what you did not get. Chat refers me to the phone, and the phone people put me on hold and walk away until the system times out and hangs up. I tried multiple times. Ethics referred me to chat. not kidding. Their help line is in India but they are not able to help.  This isn't about a bad day. This is robbery. update after four months i got someone on the phone for a refund for this order but have since found multiple doubled charges adding to hundreds and was told to contact direct express. They promised another refund but instead i get more pending charges for mystery amounts. I tried to call again and got the clueless robot. like many others i used to love Walmart. Shop in store. DO NOT SHOP ONLINE if you have no patience for thieves and liarsupdate direct express doesn't refund so Walmart still owes me over 400$ that it wont refund.Date of experience:April 20, 2024",1
Free Girl,2reviews,US,2024-05-23T18:58:28.000Z,"Used to Racism at Walmart, now sexism....I was having a good shopping experience, Glenda and the checkout employee were friendly and greeted me with a smile. I was almost out without any racist event and this employee Khaled walks up, begins disciplining the checkout woman who greeted me and as I tried to tell him how nice she was he said, ""I'm talking."" And continued to discipline her. I told him, ""I was trying to explain how nice she was. ""Okay mam, I am talking about something else."" When I told him I was going to do a review he told me. ""Yeah, go ahead and do that."" He was rude because I refused to let the fact go that the employee had been respectful and kind. ""He said sarcastically, ""Have a nice day."" I said, ""You too."" He said, ""Oh I will have a fantastic day.""  I have dealt with Walmart's racism for years, it's a part of the store, but this is the second time I've have dealt with Khaled, who clearly has an issue with women customers and employees. The other time I encountered him to buy my son's their first wrist watches (five sons) he kept calling me 'sweetheart' even though I asked him not to. I then asked for someone else to help and he said it was Christmas time there was no one else. He clearly thinks to speak to a woman in a demeaning manner is appropriate and continues to insult the female employees.Date of experience:May 21, 2024",1
Rei,4reviews,US,2024-05-23T14:50:34.000Z,"Most of the ratings are faked and paid…Most of the ratings are faked and paid reviews that talk about unrelated products. I regret buying from and am pissed at Walmart adding private sellers that they do not check or research these sellers themselves is such horse shid for shopping peace of mind.Date of experience:May 23, 2024",1
Farbod Kamiab,11reviews,US,2024-05-21T21:40:17.000Z,"Disappointing Customer Service ExperienceI purchased the eChamp Mid Century Lounge Chair and Ottoman from Walmart, attracted by its stylish design and promising features. The product itself is decent, but my experience with Walmart's customer service regarding an additional assembly service has been extremely disappointing.I paid $194.00 for the Living Room Set Assembly service through Angi, facilitated by Walmart. After the chair arrived, I decided to cancel the assembly service. Angi confirmed the cancellation and assured me that the refund would be processed through Walmart within 5-10 business days. However, despite multiple follow-ups with both Walmart and Angi, I have not received my refund.Here are the issues I faced:Lack of Response: Walmart's customer service has been unresponsive to my emails. Each time I reached out, I was directed back and forth between Walmart and Angi, with no resolution in sight.Affirm Payment Complications: Since I used Affirm for the purchase, I contacted them as well. They also directed me to Walmart, resulting in a frustrating cycle of unproductive communication.No Refund: It has been weeks, and my refund of $194.00 for the canceled assembly service has not been processed. This amount is still reflected in my Affirm account, increasing my overall debt.Escalated the Issue: Due to the lack of resolution, I have filed a formal complaint with the Better Business Bureau (BBB). I also plan to leave detailed reviews to inform other potential customers about this negative experience.While the chair itself meets my expectations, the customer service experience has overshadowed my satisfaction with the product. I caution potential buyers to be wary of additional services and be prepared for possible difficulties in getting refunds or resolving issues with Walmart's customer service.Date of experience:May 21, 2024",1
customer,4reviews,US,2024-05-21T20:43:08.000Z,"Walmart is badWalmart is bad. I just made a preorder for a collectible action figure and they put a hold on my card. They did not warn me they would do that. Now I need gas and can't use my card. I am sick and tired of dealing with walmart and their shady business tactics. Avoid if you can.Date of experience:May 21, 2024",1
Thomas Kevin Nicholl,4reviews,CA,2024-05-21T00:10:19.000Z,"Bought 4 new tiresBought 4 new tires. Tried to get them installed previous day. No appointment, so after 11/2 hours we gave up and made an appointment for next day - 3:00 appointment, got there at 2:45, left at about 4:45 - to put on 4 tires with appointment! Staff behind desk totally unhelpful (Chad) and previous person had me sign something which turned out to be (she never showed me what I was signing) a tire rotation and balancing for life of tires at a cost of $60+ dollars. I will never use it, because I will never go to their auto dept. again. (May 20th 2024). Buyer beware!Date of experience:May 20, 2024",1
Martin Lawrence,1review,US,2024-05-20T18:57:17.000Z,"BEWAREThey knowingly allow shady 3rd-party scammers to dropship (while saying they aren't doing that) and send the wrong products, then convince paypal to side with them on dispute while refusing to send return address. What a pathetic company. No wonder your terrible business has been failing for the past decade.Date of experience:May 20, 2024",1
Anika Pivetta,3reviews,CA,2024-05-20T00:08:28.000Z,"Going to lose business and money in in the long runYou cant just close self checkout lanes indefinetly and create 30 min lines. It got so busy they had to open them back up again proving they could have had them open the whole time. I believe its to push walmart plus but is that money going to go back to the employees at all? Like the cashiers who have to deal with that rush? Probably not.Date of experience:May 18, 2024",1
DF,2reviews,US,2024-05-19T20:54:05.000Z,"Customer Service and chat Customer service less than usefulDont shop often with Walmart but have on occasion and been happy with their online services…… that is until recently.Tried to reorder something and there is no record in my account of any history, but more annoying I have been trying all week to order a patio dining set all week when I go to check out it says there is a technical error. Chat help was useless, clear cache (I did) nothing same error, download app you will be able to do it through that…. same error. Called their helpline took several attempts to get the operator to understand the issue (asked for order number, date of order etc) She told me to try again on another day. been a week already and promo code for 20% off wont last forever. She said to speculate the issue please be patient… 48-72 hours, early an escalation timeframe IMO. Will buy from Wayfair insteadDate of experience:May 19, 2024",1
Douglas,3reviews,US,2024-05-19T20:34:01.000Z,"Purchased an item onlinePurchased an item online, but the address update did not take.  I was charged but never received the item... The rep said to bad you get no item or refund.Date of experience:May 19, 2024",1
John Miller,3reviews,US,2024-05-19T03:09:13.000Z,"I ordered 4 v-belts and got cheap…I ordered 4 v-belts and got cheap keyring.  Contacted walmart and discover and can’t get resolved.  $153.04 and still fighting for credit.Date of experience:December 04, 2023",1
Joe,1review,US,2024-05-18T18:04:36.000Z,"Terrible ServiceTerrible Service. I had one item and went through self checkout. A worker with no name tag came over to me and asked me for my vendor number. I told her I am not a vendor. She was rude and said that self checkout was for vendors only. I had already scanned my item and was about to slide my card through. She went over to her station and must have cancelled my order. She was very rude. I asked her if she cancelled it. I asked her for her name since she didn't have a name tag. She refused to tell me. She continued to get an attitude so I asked if I could speak to a manager. She then went off on me. I pulled out my phone and recorded it. I posted the video on YouTube under the name josephfranklin4003, if anyone is interested. Trustpilot doesn't allow links in reviews.The security worker in the Brosnan Security uniform who was holding the employee back tried to claim to be the store manager. I left after that. She then followed me out to the parking lot. I asked her to stop following me. Very unprofessional. I know Walmart has a tendency to have bad customer service, but this was beyond inappropriate.I called when I got home and asked to speak to the manager. A female picked up and asked if I was just in there. She obviously knew it was me. She then laughed and hung up on me. I'm assuming she was the security guard from Brosnan Security pretending to be the store manager.Date of experience:May 09, 2024",1
A. S.,4reviews,US,2024-05-18T17:41:38.000Z,"Walmart on 350 hwy is getting worse I…Walmart on 350 hwy is getting worse I recently bought apple juice on April 5th Great Value Brand an today is may 17th with an expiration date of Nov 2024 why do I have mold in my apple juice,I believe  it means your selling juice and just changing  the date.Please don't waste your money on this brand juice or any other.Date of experience:May 18, 2024",1
Jim Zima,1review,US,2024-05-18T17:34:17.000Z,"Buyer Beware!I had placed an online order, which included a microwave oven. The order was delivered the next day. Received a large pack of paper towels instead of the microwave. I filed for a return of the towels and a reship for the microwave online. Walmart cancelled the reship order the following day claiming the oven was out of stock and I returned the pack of paper towels the following Saturday via FedEx as per Walmart instructions. The return was delivered to Walmart that Monday. It has been well over a month now and after several attempts with communicating with Walmart I had to file a complaint with the Better Business Bureau to try to get my refund. Unbelievable! All this hassle for an $85 refund!Date of experience:April 08, 2024",1
A E,2reviews,US,2024-05-18T01:41:35.000Z,"I love Walmart and love shopping there…I just would love to get a job there instead of someone who is fresh from Mexico or Ukraine and knows zero English!! Our system is so backwards!!I love Walmart and love shopping there for bargains, but for someone who was born and raised in this country with just a little misdemeanor that happened 4 years ago. You go to the interview, and all goes well!! Then you don't hear from them until they send you your background check through the mail with your little misdemeanor. With that said, they make you feel like you robbed a bank, drug dealing, stealing, or even murder. But then Walmart has the audacity to hire illegal immigrants who doesn't know any English at all !! These are immigrants who are straight from Mexico, and even Ukraine!! So how the hell are they getting jobs, and I can't!! I've lived here all my life, but I have that little bitty misdemeanor that happened 4 years ago on my record. So I'm going to change my name to Anna Rodgrigez or Mykola from Ukraine, and try to apply like that just to see what happens, and if I get hired!! It's just no fair!! Our system is so backwards that Walmart would rather hire non English speaking Mexicans or Ukrainians instead of a hard working American citizen that has 20 plus years of customer service, cash handling, register knowledge, management, counting drawers down, stocking and anything that has to do with Walmart!! It's not fair for usI believe Walmart needs to give people like me a chance instead of sending a background check, and take a chance on someone, like me, who is hardworking and made one little mistake 4 years ago!! I applied for cashier position 5 months ago and was denied, not by a phone call, but again...... that background check in the mail!! I've seen body camera footage of so many Walmart employees getting busted stealing on the job or taking money out of the register!! Walmart has the best security system ever!! Ya'll have employees that are LP that there jobs are to just to watch the security monitors. I think as a large corporation such as Walmart, you really need to give some of these jobs to someone like me with just a little blip on their background!! Not turning them away and giving them to Helga whos plane just landed from Ukraine for the first time, but Helga get's a job at Walmart just like that without no experience in money handling, register experience, hell she can't even communicate with customers unless someone or her is using google translate, which makes her line longer. If she figures out our currency because she just knows the Ukrainian currency, hryvnia! So there's something wrong here!! And I think someone high up in this billion Dollar company needs realize how messed up this is!!Date of experience:April 08, 2024",1
DANIEL ROE,1review,CA,2024-05-17T22:34:00.000Z,"I had canceled an order for a laptop…I had canceled an order for a laptop w/extended warranty. I then received a text stating my order had been canceled.What do I see the next day? The order has shipped!I call customer service. They tell me that Walmart tried to cancel the order but ultimately it's up to the third-party seller to do so.Did Walmart provide me with a means of communicating with the seller? No, they did not.  Instead, the CSR sent a message to the seller stating that ""a cancellation had been requested"" (funny how she left out the fact that Walmart had confirmed the cancellation).So now, the seller is supposed to contact me with 48 hours....but the pkg will have been delivered by then to an address that I don't have access to. If I had been given an opportunity to contact the seller and provide them with an updated address that could then be given to FedEx.....but no, that's way beyond Walmart's abilities.The entire chain is managed and staffed by a bunch of dinks. The entire operation should be sent to China where they would fit right in.Walmart sucks!Date of experience:May 17, 2024",1
Gloria,28reviews,US,2024-05-17T15:43:38.000Z,"I tried to order groceries and they…I tried to order groceries and they cancelled my order over and over again. I have ordered multiple times from Walmart in North York Area and have been unsuccessful.I also ordered a fridge and when it arrived it was damaged in three places. I called to get a refund and they are making it very difficult to get a refund. May 7th,2024. It came a day early with damage and also they emailed me the next day saying it arrived around 1am in the morning. I have called several times to book a return for them to come and collect my product and still yet to be solved. It has been damaged in three places. I have called back several times and spoke to customer service. (North York Area)I am very disappointed in the service I have been receiving for online products.Date of experience:May 07, 2024",1
philly flips,37K reviews,US,2024-05-17T04:08:55.000Z,"I like walmart but hate thisI like walmart, but hearing that they make employees work with covid and flu while handling our foods and other consumables, I honestly think the health inspectors should look into shutdowns. I currently know 5 people working there at different stores, and no one can take sick days like that. One manager I know for instance is currently working with the flu, throwing up on the job, and being told to work harder handling your groceries. Walmart do better. Treat your employees better, because as long as this is going on, I refuse to get sick due to your company's negligence of your workers health. You would also fix your crazy turnover rate if you guys would treat these employees better. Just seeing how unhappy they all look really shows the companies priorities toward them. Non existent. And I'm not a walmart employee. Just someone who feels for the way yall mistreat them.Date of experience:May 16, 2024",1
Catrina Ortiz,3.6K reviews,US,2024-05-16T22:40:28.000Z,"What has happened to Walmart?What has happened to Walmart?If I could leave zero stars I would, Walmart use to be the place to go for just about anything at a low rate. From food, hot or cold, to clothing for all ages. Cosmetics, and more, down to even getting your oil changed and new tires. Now Walmart seems to be more about price galging and sticking it to the customers they once cherished, the younger staff are rude and don't like giving assistance when asked. Returning items even with a receipt has become a hassle, and the money center is hardly open due to computers always being down. Produce and meats, are better off purchased elsewhere. Aside from them costing way more than what they should, You're lucky if you get something that doesn't look spoiled. I could go on, but honestly I just want back the Walmart we all once knew. Where there are actual cashiers, and people that care, and the quality was worth the cost; because honestly it isn't anymore.Date of experience:May 16, 2024",1
charles carr,14K reviews,US,2024-05-15T20:25:13.000Z,"Walmart marketplace does not stand…Walmart marketplace does not stand behind orders from their ""sellers"" I received no help from Walmart for defective tire sent and no response from seller. All Walmart will say is they will contact their seller. This will absolutely be my last online order to Walmart marketplace. Horrible customer service, customer service is rude and clueless and doesn't get nothing resolved. Don't waste your money with Walmart marketplace.Date of experience:March 15, 2024",1
Amelia,5reviews,CA,2024-05-14T01:28:25.000Z,"Walmart could improve a little!I absolutely love Walmart because of it's great value, low prices, and awesome quality. I also love how it is placed in many locations, making it easier for consumers in the area.Although Walmart is an awesome place, they could improve a little. They could improve their online store, no more tampering, please. Also, in their store locations, it's very cold.~~Amelia EverhartDate of experience:May 13, 2024",4
kathy,1review,US,2024-05-13T20:20:16.000Z,"THEIR 30 DAY RETURN POLICY IS A FRAUD!!WALMART 30 DAY RETURN POLICY IS A FRAUD!!I purchased an item April 10 and called customer service before 9am on May 10 and they told me I was outside the 30 day return window.  Anyone with a calendar that can count can see this is not true.  BUYER BEWARE, MAJOR FRAUDDate of experience:May 12, 2024",1
Daniel Finnerty,3reviews,US,2024-05-13T17:21:00.000Z,"Samsung - Walmart Finger pointingBought a Samsung TV from Walmart where part of the screen blacked out.  Samsung refused to guarantee it at all since it was sold by Walmart. Walmart would not guarantee it since it was 40 days beyond the 90 day return policy.Walmart only cared that it was just beyond the 90 days and Samsung only cared that it was sold by Walmart so they did not guarantee it at allDate of experience:May 13, 2024",1
Conservative Investor,7reviews,US,2024-05-13T15:50:37.000Z,"My delivery AGAIN went to the wrong…My delivery AGAIN went to the wrong address.  This time to the right door number but the wrong street.Date of experience:May 12, 2024",1
latoya love,1review,US,2024-05-12T23:23:33.000Z,"walmart onlineit was the most horrible experience online.  I order grocery online I wait hours to find out my grocery was sent to different walmart cross town. so I cancel order I was told my money would be refund that same day that was may 9th its may 12.Date of experience:May 09, 2024",1
Bonnie K Sims,1review,US,2024-05-12T22:50:20.000Z,"Don't order anything that FedEx deliver from Walmart…Don't order anything that needs delivery if FedEx is doing the delivery because you can guarantee that you would not get the merchandise FedEx do not deliver Walmarts merchandise I've had it happen twice as a matter of fact I had something that was supposed to be delivered on a Friday I chatted with Walmart on Thursday and told them that the merchandise is not going to come and lo and behold I was correct it didn't show up it was supposed to show up and then all of a sudden it was on unable to deliver the product never heard anymore supposed to come to following day never did so do not order anything from Walmart if FedEx is going to bring it you can forget itDate of experience:May 10, 2024",1
Ade,1review,US,2024-05-12T21:28:37.000Z,"Online order delivery appeared to be tampered withOn my May 12th delivery for an online order,  received several items that appeared to be tampered with. I received a Simply Limeade that had its lid seal completely torn as it does when you twist the lid off. It also had an expiration date of 03/08/24, which means it expired more than 2 months ago. I also received a bag of Cosmic apples that had a hole ripped in it just big enough to grab an apple out, and the weight of the “3” pound bag, was 2.7 pounds. My grape tomatoes container was open in the bag and tomatoes were in the bag and on my porch. And the Angel food cake container was completely open in the bag and the cake was flipped on its side. They told me I had to bring everything in for a refund, which defeats the purpose of ordering online really.Also I had a May 11th delivery that was delivered to the wrong home, which is why I had to put in for this May 12th order, the next day, after multiple chats online to get my refund straight.Date of experience:May 12, 2024",1
Willard,1review,US,2024-05-12T16:25:42.000Z,"They only hire legally stupid people…They only hire legally stupid people here. Go somewhere else. Every time you communicate with another human being that works at this store you are hurting yourself, you are stooping down to their level of intelligence which is barely above breathing. Go somewhere, anywhere but this place.Date of experience:May 12, 2024",1
Penny Price,1review,CA,2024-05-12T15:30:28.000Z,"Regarding Purchase Experience - Store #05280On the evening of Friday, May 10, 2024, my son purchased a television for me as a Mother's Day gift. The transaction took place at Store #05280, and the TV was priced at $128.25, marked as clearance. Excitedly, we returned home only to find that the TV did not work at all.Promptly the next morning, my son and his wife returned to the store with the receipt in hand, expecting either a refund or a replacement as any reasonable customer would. However, they were met with astonishingly poor customer service. The supervisor they spoke to was not only unhelpful but also exceedingly rude. Despite presenting the receipt and explaining the situation, they were outright denied any form of resolution.It is worth noting that neither during the purchase nor on the receipt was it mentioned that the sale was final, nor was there any indication that returns would not be accepted if the item was defective.Following this disappointing encounter, I reached out to Walmart.com for assistance, only to be informed that it was solely at the discretion of the store to address the issue. Subsequently, I contacted the store directly, where I spoke with Areana. While she expressed understanding, her offer of a mere $20 Walmart gift card as compensation for our wasted time and inconvenience felt like a slap in the face.This experience has been particularly distressing given the circumstances my family and I have recently endured. We are residents of Portage, MI, and were directly impacted by a devastating F2 Tornado that ravaged our community. My apartment complex suffered significant damage, and I consider myself fortunate to be alive. Amidst such hardship, the last thing I expected was to be treated so poorly by a store I have been patronizing for over 35 years.Date of experience:May 10, 2024",1
Andre Cardoso,11reviews,US,2024-05-11T00:23:23.000Z,"Horrible place to shopHorrible place to shop. Horrible customer service. Horrible delivery system. Just horrible. Don't waste your money. I was suppose to have a bbq delivered on may10th they tell me may 10th at 4pm that the order changed to be delivered may 13th. What a joke. I wanted to cancel they tell me it's to late the order went out already I should just wait for it. Are you kidding me. Now my weekend is ruined cause I just threw my bbq out thinking I was gonna have a new one today. Thanks walmart for lying and just getting people to buy your products . Don't waste your money on this company. Go to Amazon or your local grocery store. No wonder there a 1star review everywhere.Date of experience:May 10, 2024",1
Robert D Thompson,2reviews,US,2024-05-10T21:18:51.000Z,"Walmart ServiceI had order a light bulb through Walmart that was received and shipped by UPS. The package was damaged (no surprise since UPS was the shipped it) and I contacted Walmart and received a refund with 30 minutes. very ImpressiveDate of experience:May 10, 2024",5
Will Navidson,1review,US,2024-05-10T03:36:46.000Z,"Canceling orders without asking them toPackage was 2 days late, I called in to see when it when it would arrive or where it was, and rather than do anything to try to help me, they put me on hold and came back to tell me they had gone ahead and canceled the order. Why would you cancel an order when I never asked for that?! Would not let me speak to a supervisor or anything, made the excuse that ""our supervisors are busy"".Date of experience:May 07, 2024",1
Taylor,3reviews,US,2024-05-10T04:37:10.000Z,"Walmart delivery driver stole my groceriesI ordered 3lb bag of apples 3lb of oranges, 2lb of lemons, 5 cucumbers, strawberries, bananas, mangos, 2 bags of shrimp, ground turkey, 5 1gallon water, 2 six pack of minute maid juice, 5 cans of oysters,, mozzarella cheese saltine crackers, cabbage, carrots, rice paper, tofu, popcorn, chip ahoy &  alot more stuff.The driver ANGELLO MOENTERO stole everything except the water, a loaf of wheat bread and a bag of chips I am PISSED because why are you being trusted with people things and you're stealing?!!Thats unacceptable!You don't know what people have to go through to provide for their household. He’s dead WRONG! Point blank period!!I can only imagine how many people he has done this to before and I pray to God he's not able to do it to anyone else. I blame myself too because I should’ve gotten to the door 10 seconds sooner. When I opened my door they was turning the corner heading towards the elevator. It was a woman with him. I said “Hey” they hurried up and tried to get on that elevator. Funny thing is I hadn’t touched or looked inside the bags to know anything was missing yet. I was actually calling him back because I’d put aside a cash tip for whoever was delivering my order. 🤦🏽‍♀️ He didn’t turn around or say anything and I know for a fact they both heard me. 😒 Once I looked down in the bags I noticed majority of my stuff wasn’t there. I immediately called my front desk concierge and asked her to stop them. She said “they left in a hurry.” 😒 You can’t tell me he didn’t come here with a plan. He noticed he was delivering to Buckhead and assumed he was on a lick 🤣🤣🤣🤣🤣🤣 He thought I was one of these rich folks thats not gonna trip. Right plan wrong woman. Ion play! YOU’RE A THEIF! 🤨 He literally picked through my groceries and took what he wanted. Lol Walmart associates shop and bag the customers orders. You’re just the driver,  you work for Uber. He had no business going in my bags period!! Lol I’m still mad and it’s hours later that’s why Im writing this. I feel tried. Just imagining you and yo lady eating and enjoying my food that YOU STOLE. 🤣🤣🤣🤣 That I wish I was eating 🤣 You a whole grown man, out here stealing food! 🥴😂😂😂 Then have the nerve to have a woman with you. Lord please don’t ever allow me to settle for anything less than what you desire for me. The nerve of him. I had to tell somebody who better than The WORLD. 😂😂😂😂😂😂I feel better now. 😆 and I know you must’ve really needed it, so I’m not gonna be like that.  I LOVE GOD!! I know we have to forgive in order to be forgiven. So again I FORGIVE YOU 😊 Senior ANGELLO MOENTEROEnjoy the food bro****** Walmart did refund me however its the principle! I'm hungry NOW and I wanted my stuff TODAY! I should not have to wait 24/48 hours on a refund to be processed. Even when I tried to place another order it said I wouldn’t receive it until tomorrow. Such an inconvenience. Start checking for workers with INTEGRITY when hiring. WalmartChamblee Tucker rd. in Chamblee Ga.Date of experience:May 08, 2024",1
Linda,1review,US,2024-05-09T18:34:32.000Z,"Sold me a used gift card 50.00I bought a Christmas gift card on Dec 18,2023I purchased this for one of my sons he let me know he needed some cash so I sent him cash and kept the gift card. It was in my purse for 2 months never took it outIn Feb I remembered I had it so I thought I would use it for my purchase.  When they rang it in. They discovered it had been used. I was beside myself.I complained. I made a report.  I have never received compensation.  Never.Date of experience:May 09, 2024",1
KEVIN A,3reviews,US,2024-05-09T17:19:51.000Z,"favioute place to gofavioute place to go, the real mvp for groceriesDate of experience:May 06, 2024",5
Angel M Betancourt,2reviews,CA,2024-05-09T15:33:38.000Z,"I placed and order yesterday and the…I placed and order yesterday and the package was delivered to the wrong house.  Was delivered to the correct complex but at the wrong house.  I call and chat for about hours for almost 2 days and nothing.  I call the Franklin manager today and was very rude and very unprofessional and hang up to me.  The customer services are terrible. They said that I have to call the bank to dispute it.  It is not my responsibility to do it.Date of experience:May 08, 2024",1
Sarah,6reviews,US,2024-05-09T15:15:56.000Z,"Worse than 1 star.Worse than 1 star.Ignorant customer service reps.Completely incompetent and rude.Half my order did not arrive and the 3rd party reached out to me because they were not given the proper address for penguin pickup. Even after that they refused a 2nd attempt.  Walmart never ever ever knows what is going on with their orders.  They are rude and blaming. I will never ever order again after my 5th online order. You guys  are awful....Date of experience:April 25, 2024",1
Paige Norman,1review,US,2024-05-09T03:17:18.000Z,"Cupcake cakes not ready on timeI ordered 3 cupcake cakes for Monday, May 6th at the N Dobson Rd location two weeks in advance, 2:30 pm or later pickup. When I arrived at 5 pm to pick up my order, the order wasn't ready. My order paperwork was there, but no cakes. Shea, Vanessa, Emilio & Michael jumped in and put it all together -- 2 managers and 2 employees. Although we were giving store credit and a discount on the items, the colors were wrong (we asked for ASU colors for a graduation party) AND we were late to the event. Oddly enough, we received a text the NEXT DAY (not the 6th) that our order was complete. I'm appreciative of the effort they took to get the order completed, however would have preferred it ready at the time requested without all the stress.Date of experience:May 05, 2024",3
John,3reviews,US,2024-05-08T21:39:21.000Z,"ripped offI got charged for something I didn't buy. I purchased 3 things with a total of 11.93. Saw on the receipt when I got home a total of 18.81 (not counting tax. Got billed for someone else's 6.88. No point in going back. they'll just say it's right. Will never go back. This is the Walmart in Cottonwood, AZ.Date of experience:May 08, 2024",1
"Gregory-Cheyenne,WY",2reviews,US,2024-05-07T23:51:09.000Z,"Simply The BestWalmart continues to exceed my expectations. I appreciate their superb customer service. Looking forward to the ""better goods"" product roll out.Date of experience:May 07, 2024",5
